10 10
0 0 1001
1 0 1000
2 0 1000
3 0 1000
4 0 1000
5 0 1000
6 0 1000
7 0 1100
8 0 1001
9 0 1110
0 1 0111
1 1 0111
2 1 0111
3 1 0111
4 1 0111
5 1 0111
6 1 0101
7 1 0001
8 1 0010
9 1 1110
0 2 1011
1 2 1000
2 2 1010
3 2 1010
4 2 1000
5 2 1010
6 2 0110
7 2 0001
8 2 1010
9 2 1100
0 3 1011
1 3 0000
2 3 1110
3 3 1001
4 3 0000
5 3 1100
6 3 1011
7 3 0000
8 3 1100
9 3 0111
0 4 1101
1 4 0101
2 4 1101
3 4 0101
4 4 0101
5 4 0111
6 4 1011
7 4 0100
8 4 0001
9 4 1100
0 5 0001
1 5 0010
2 5 0110
3 5 0111
4 5 0001
5 5 1000
6 5 1100
7 5 0101
8 5 0101
9 5 0111
0 6 0001
1 6 1110
2 6 1001
3 6 1000
4 6 0100
5 6 0111
6 6 0101
7 6 0111
8 6 0001
9 6 1110
0 7 0001
1 7 1110
2 7 0111
3 7 0101
4 7 0111
5 7 1011
6 7 0100
7 7 1001
8 7 0100
9 7 1101
0 8 0001
1 8 1110
2 8 1001
3 8 0000
4 8 1110
5 8 1011
6 8 0100
7 8 0101
8 8 0001
9 8 0110
0 9 0111
1 9 1011
2 9 0110
3 9 0111
4 9 1011
5 9 1010
6 9 0110
7 9 0111
8 9 0011
9 9 1110
